№,Продукт,"Дни просрочки",Сцепка,"Вероятность взыскания","Ставка резерва",База,"Расчет суммы",Потери,База,Расчет,Потери,"Истина/ Ложь для резерва по стандартному сценарию","Истина/ Ложь для резерва по сценарию реструктуризации"
113,Автокредиты,112,Автокредиты112,0.54495299275984,0.1919,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
114,Автокредиты,113,Автокредиты113,0.54495299275984,0.1919,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
115,Автокредиты,114,Автокредиты114,0.54495299275984,0.1919,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
116,Автокредиты,115,Автокредиты115,0.54495299275984,0.1919,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
117,Автокредиты,116,Автокредиты116,0.54495299275984,0.1919,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
118,Автокредиты,117,Автокредиты117,0.54495299275984,0.1919,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
119,Автокредиты,118,Автокредиты118,0.54495299275984,0.1919,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
120,Автокредиты,119,Автокредиты119,0.54495299275984,0.1919,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
121,Автокредиты,120,Автокредиты120,0.4278829968011,0.1919,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
122,Автокредиты,121,Автокредиты121,0.4278829968011,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
123,Автокредиты,122,Автокредиты122,0.4278829968011,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
124,Автокредиты,123,Автокредиты123,0.4278829968011,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
125,Автокредиты,124,Автокредиты124,0.4278829968011,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
126,Автокредиты,125,Автокредиты125,0.4278829968011,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
127,Автокредиты,126,Автокредиты126,0.4278829968011,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
128,Автокредиты,127,Автокредиты127,0.4278829968011,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
129,Автокредиты,128,Автокредиты128,0.4278829968011,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
130,Автокредиты,129,Автокредиты129,0.4278829968011,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
131,Автокредиты,130,Автокредиты130,0.4278829968011,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
132,Автокредиты,131,Автокредиты131,0.4278829968011,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
133,Автокредиты,132,Автокредиты132,0.4278829968011,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
134,Автокредиты,133,Автокредиты133,0.4278829968011,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
135,Автокредиты,134,Автокредиты134,0.4278829968011,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
136,Автокредиты,135,Автокредиты135,0.4278829968011,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
137,Автокредиты,136,Автокредиты136,0.4278829968011,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
